Name,Age,Gender,Salary,Department,Date of Birth,Address,Product
Rahim,25,Male,50000,HR,5/12/1995,Dhaka,widgetA
Karim,30,Male,60000,Finance,9/23/1985,Chittagong,WidgetB
Jamal,35,Male,70000,Marketing,12/2/1975,Sylhet,widgetA
Hasina,,Female,80000,Finance,4/12/1988,78 Khulna Rd,WidgetC
Shabana,40,,,HR,8/14/1990,Barisal,widgetb
Bashir,29,Male,1200000,HR,3/19/1982,Rajshahi,widgetA
Rafiq,33,Male,85000,Finance,7/21/1989,Rajshahi,WidgetB
,45,Female,,Marketing,11/5/1992,-89 Sylhet Rd,WidgetC
Salma,22,Female,90000,HR,male,Dhaka,widgetA
Moinul,55,,300000,Finance,6/9/1984,Chittagong,widgetA
Sadia,36,Female,60000,Finance,1/20/1993,Comilla,WidgetB
Nadia,,Female,70000,HR,5/12/1995,Chittagong,WidgetC
Morshed,60,Male,25000,Marketing,8/3/1981,Rangpur,widgetb
Taslima,42,Female,62000,Finance,10/13/1987,Khulna,WidgetA
Selina,,Female,54000,HR,12/24/1976,Sylhet,WidgetC
Abul,38,Male,,HR,4/12/1988,Khulna,WidgetC
Nasrin,31,,68000,Finance,3/19/1982,Rajshahi,widgetb
Asif,27,Male,71000,Marketing,7/21/1989,Sylhet,widgetC
Mofiz,,Male,66000,Marketing,8/14/1990,Dhaka,WidgetA
Faruk,41,Male,,HR,9/23/1985,Barisal,WidgetA
